"Name","Value"
"Address","https://finalboss.io/"
"URL Encoded Address","https://finalboss.io/"
"Content Type","text/html; charset=utf-8"
"Status Code","200"
"Status","OK"
"Indexability","Indexable"
"Title 1","FinalBoss.io - Your Ultimate Gaming Destination"
"Title 1 Length","47"
"Title 1 Pixel Width","428"
"Meta Description 1","Discover the latest gaming news, reviews, guides, and cutting-edge technology at FinalBoss.io. Stay ahead in the gaming world."
"Meta Description 1 Length","126"
"Meta Description 1 Pixel Width","784"
"H2-1","Game Database"
"H2-1 Length","13"
"H2-2","Level Up Your Gaming Knowledge"
"H2-2 Length","30"
"Meta Robots 1","index, follow"
"Canonical Link Element 1","https://finalboss.io/"
"Canonical Link Element 1 Origin","HTML"
"Canonical Link Element 1 Indexability","Indexable"
"Size","90.1 KB"
"Transferred","13.5 KB"
"Total Transferred","13.5 KB"
"CO2 (mg)","5.188"
"Carbon Rating",""
"Word Count","29"
"Sentence Count","5"
"Average Words Per Sentence","5.80"
"Flesch Reading Ease Score","66.75"
"Readability","Normal"
"Text Ratio","0.72"
"Crawl Depth","0"
"Folder Depth","0"
"Link Score",""
"Inlinks","396"
"Unique Inlinks","246"
"Unique JS Inlinks","0"
"% of Total","98.8"
"Outlinks","21"
"Unique Outlinks","14"
"Unique JS Outlinks","0"
"External Outlinks","4"
"Unique External Outlinks","4"
"Unique External JS Outlinks","0"
"Hash","45029066ba421c2ec7cf310108f5239f"
"Response Time","0.58"
"Last Modified",""
"Form 0 Action Link","https://formspree.io/f/xjkronpd"
"Form 0 Action Path Type","Absolute"
"Language","en"
"HTTP Version","1.1"
"Crawl Timestamp","2026-01-04 09:20:28"
